ChunkID, Package Name, Class Type, Hard or Soft Chunk, File Size, Other Chunks
0,/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color,Material,Hard,14574,None
0,/Engine/EditorResources/AudioIcons/S_AudioComponent_AutoActivate,Texture2D,Hard,350967,None
0,/Engine/EngineDebugMaterials/VertexColorMaterial,Material,Hard,203528,None
0,/Engine/EngineDebugMaterials/WireframeMaterial,Material,Hard,930842,None
0,/Engine/Functions/Engine_MaterialFunctions01/Opacity/Chroma_Key_Alpha,MaterialFunction,Hard,998,None
0,/Paper2D/DefaultPaperTerrainMaterial,PaperTerrainMaterial,Hard,1452,None
0,/Paper2D/DefaultSpriteMaterial,Material,Hard,120247,None
0,/Paper2D/DummySprite,PaperSprite,Hard,3479,None
0,/Paper2D/MaskedUnlitSpriteMaterial,MaterialInstanceConstant,Hard,2409,None
0,/Paper2D/OpaqueUnlitSpriteMaterial,MaterialInstanceConstant,Hard,40772,None
0,/Paper2D/PlaceholderTextures/DummySpriteTexture,Texture2D,Hard,6736,None
0,/PotatoTest/Assets/RebelBuilding/Ships/Falcon_Details_COLOR,Texture2D,Soft From Unassigned Package? Best Guess: /SW_NukeTown/SW_NukeTown_MapModData->/SW_NukeTown/Maps/SW_Nuketown->/SW_NukeTown/Assets/RebelBuilding/Ships/millennium_falcon_battlefront->/SW_NukeTown/Assets/RebelBuilding/Ships/Tex_0095_2_dds->/PotatoTest/Assets/RebelBuilding/Ships/Falcon_Details_COLOR,5593874,None
0,/SW_NukeTown/Assets/Decorations/Antenna,StaticMesh,Soft From Unassigned Package? Best Guess: /SW_NukeTown/SW_NukeTown_MapModData->/SW_NukeTown/Maps/SW_Nuketown->/SW_NukeTown/Assets/Decorations/Antenna,1417371,None
0,/SW_NukeTown/Assets/Decorations/Banner/EmpireWantsYou,Texture2D,Soft From Unassigned Package? Best Guess: /SW_NukeTown/SW_NukeTown_MapModData->/SW_NukeTown/Maps/SW_Nuketown->/SW_NukeTown/Assets/Decorations/Banner/EmpireWantsYou_Mat->/SW_NukeTown/Assets/Decorations/Banner/EmpireWantsYou,145689,None
