ChunkID, Package Name, Class Type, Hard or Soft Chunk, File Size, Other Chunks
0,/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color,Material,Hard,2625,None
0,/Engine/EditorResources/AudioIcons/S_AudioComponent_AutoActivate,Texture2D,Hard,1043,None
0,/Engine/EngineDebugMaterials/VertexColorMaterial,Material,Hard,2293,None
0,/Engine/EngineDebugMaterials/WireframeMaterial,Material,Hard,2596,None
0,/Engine/Functions/Engine_MaterialFunctions01/Opacity/Chroma_Key_Alpha,MaterialFunction,Hard,998,None
0,/MagicLeapPassableWorld/MagicLeapARPinInfoActor,Blueprint,Hard,28109,None
0,/MagicLeapPassableWorld/MagicLeapARPinInfoActor,BlueprintGeneratedClass,Hard,28109,None
0,/Paper2D/DefaultPaperTerrainMaterial,PaperTerrainMaterial,Hard,1452,None
0,/Paper2D/DefaultSpriteMaterial,Material,Hard,3030,None
0,/Paper2D/DummySprite,PaperSprite,Hard,3479,None
0,/Paper2D/MaskedUnlitSpriteMaterial,MaterialInstanceConstant,Hard,2409,None
0,/Paper2D/OpaqueUnlitSpriteMaterial,MaterialInstanceConstant,Hard,2378,None
0,/Paper2D/PlaceholderTextures/DummySpriteTexture,Texture2D,Hard,868,None
0,/PotatoTest/Assets/RebelBuilding/Ships/Falcon_Details_COLOR,Texture2D,Soft From Unassigned Package? Best Guess: /SW_NukeTown/SW_NukeTown_MapModData->/SW_NukeTown/Maps/SW_Nuketown->/SW_NukeTown/Assets/RebelBuilding/Ships/millennium_falcon_battlefront->/SW_NukeTown/Assets/RebelBuilding/Ships/Tex_0095_2_dds->/PotatoTest/Assets/RebelBuilding/Ships/Falcon_Details_COLOR,882,None
0,/SW_NukeTown/Assets/Decorations/Antenna,StaticMesh,Soft From Unassigned Package? Best Guess: /SW_NukeTown/SW_NukeTown_MapModData->/SW_NukeTown/Maps/SW_Nuketown->/SW_NukeTown/Assets/Decorations/Antenna,10396,None
0,/SW_NukeTown/Assets/Decorations/Banner/EmpireWantsYou,Texture2D,Soft From Unassigned Package? Best Guess: /SW_NukeTown/SW_NukeTown_MapModData->/SW_NukeTown/Maps/SW_Nuketown->/SW_NukeTown/Assets/Decorations/Banner/EmpireWantsYou_Mat->/SW_NukeTown/Assets/Decorations/Banner/EmpireWantsYou,937,None
0,/SW_NukeTown/Assets/Decorations/Banner/EmpireWantsYou_Mat,Material,Soft From Unassigned Package? Best Guess: /SW_NukeTown/SW_NukeTown_MapModData->/SW_NukeTown/Maps/SW_Nuketown->/SW_NukeTown/Assets/Decorations/Banner/EmpireWantsYou_Mat,1311,None
0,/SW_NukeTown/Assets/Decorations/Banner/ImpBanner,Texture2D,Soft From Unassigned Package? Best Guess: /SW_NukeTown/SW_NukeTown_MapModData->/SW_NukeTown/Maps/SW_Nuketown->/SW_NukeTown/Assets/Decorations/Banner/ImpBanner_Mat->/SW_NukeTown/Assets/Decorations/Banner/ImpBanner,927,None
